IP Address,Port,Organization,Hostnames,Reference,Port(s),Protocol,Service,Details,Source
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,SMTP,"SMTP (Simple Mail Transfer Protocol). Many worms contain their own SMTP engine and use it to propagate by mass-mailing the payload, often also spoofing the ""From: ..."" field in emails. If you are not running a mail server that you're aware of, there is a possibility your system is infected.



Integer overflow in Apple Safari [CVE-2010-1099], Arora [CVE-2010-1100], Alexander Clauss iCab [CVE-2010-1101], OmniWeb [CVE-2010-1102], Stainless [CVE-2010-1103] allows remote attackers to bypass intended port restrictions on outbound TCP connections via a port number outside the range of the unsigned short data type, as demonstrated by a value of 65561 for TCP port 25.



List of some trojan horses/backdoors that use this port: Ajan, Antigen, Barok, Email Password Sender - EPS, EPS II, Gip, Gris, Happy99, Hpteam mail, Hybris, I love you, Kuang2, Magic Horse, MBT (Mail Bombing Trojan), Moscow Email trojan, Naebi, NewApt worm, ProMail trojan, Shtirlitz, Stealth, Tapiras, Terminator, WinPC, WinSpy, Aji, Email Worms, Haebu Coceda, Loveletter, Neabi, Shtrilitz.

W32.Sober.I@mm [Symantec-2004-111900-1451-99] (2004.11.19) - mass-mailing worm that uses its own SMTP engine. Affects all current Windows versions. Checks network connectivity by contacting a NTP server on port 37/tcp.

Trojan.Mitglieder.R [Symantec-2005-070117-2559-99] (2005.07.01) - trojan with backdoor capabilities. It runs a SOCKS4 proxy server and periodically contacts websites with information about the compromised computer. Attempts to open a back door on port 9040/tcp. Might also initiate a SMTP spam relay server on port 25/tcp.

W32.Beagle.CX@mm [Symantec-2005-121511-1751-99] (2005.12.15) - mass-mailing worm that uses its own SMTP engine to spread Trojan.Lodear.E [Symantec-2005-110111-3344-99]. Also opens a backdoor on port 80/tcp and lowers security settings on the compromised computer.

Backdoor.Rustock [Symantec-2006-060111-5747-99] (2006.06.01) - backdoor program that allows the compromised computer to be used as a proxy, uses rootkit techniques to hide its files and registry entries.



NJStar Communicator is vulnerable to a stack-based buffer overflow, caused by improper bounds checking by the MiniSMTP server when processing packets. By sending a specially-crafted request to TCP port 25, a remote attacker could overflow a buffer and execute arbitrary code on the system or cause the application to crash.

References: [CVE-2011-4040], [XFDB-71086], [BID-50452]



Datalust Seq.App.EmailPlus (aka seq-app-htmlemail) 3.1.0-dev-00148, 3.1.0-dev-00170, and 3.1.0-dev-00176 can use cleartext SMTP on port 25 in some cases where encryption on port 465 was intended.

References: [CVE-2021-43270]



Trojan.Win32.Barjac / Remote Stack Buffer Overflow - Trojan.Win32.Barjac makes SMTP connection to Port 25, upon processing the server response we control, we overwrite instruction pointer (EIP), undermining the integrity of the trojan.

References: [MVID-2021-0011]",SG
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,udp,games,Final Fantasy XI,SG
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,,Simple Mail Transfer Protocol (SMTP) - used for e-mail routing between mail servers (official),Wikipedia
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,trojan,"Antigen, Barok, BSE, Email Password Sender , Gip, Laocoon, Magic Horse, MBT , Moscow Email trojan, Nimda, Shtirlitz, Stukach, Tapiras, WinPC",Trojans
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,"tcp,udp",applications,SMTP,Portforward
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,Ajan,[trojan] Ajan,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,Antigen,[trojan] Antigen,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,Barok,[trojan] Barok,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,BSE,[trojan] BSE,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,EmailPasswordSender,[trojan] Email Password Sender - EPS,Neophasis
