IP Address,Port,Organization,Hostnames
50.114.168.136,25,"Comcast Cable Communications, LLC",
96.71.174.230,500,"Comcast Cable Communications, LLC",96-71-174-230-static.hfc.comcastbusiness.net
73.179.56.159,100,"Comcast IP Services, L.L.C.",c-73-179-56-159.hsd1.fl.comcast.net
73.127.105.66,7547,"Comcast Cable Communications, LLC",c-73-127-105-66.hsd1.ms.comcast.net
73.154.13.202,22,"Comcast IP Services, L.L.C.",c-73-154-13-202.hsd1.pa.comcast.net
50.211.142.201,5938,"Comcast Cable Communications, LLC",50-211-142-201-static.hfc.comcastbusiness.net
71.25.186.165,8991,"Comcast Cable Communications, LLC",
73.247.58.10,161,"Comcast Cable Communications, LLC",c-73-247-58-10.hsd1.il.comcast.net
50.194.60.251,110,"Comcast Cable Communications, LLC",50-194-60-251-static.hfc.comcastbusiness.net
71.59.71.182,443,"Comcast Cable Communications Holdings, Inc","brightsoftware.com, c-71-59-71-182.hsd1.nj.comcast.net"
24.126.139.95,161,"Comcast Cable Communications Holdings, Inc",c-24-126-139-95.hsd1.ga.comcast.net
73.96.148.1,161,"Comcast IP Services, L.L.C.",c-73-96-148-1.hsd1.or.comcast.net
96.88.178.9,500,"Comcast Cable Communications, LLC",mail.sjnmtl.org
24.18.62.159,7547,Comcast Cable Communications,c-24-18-62-159.hsd1.wa.comcast.net
76.145.69.251,8554,"Comcast Cable Communications, LLC",
50.237.140.35,500,"Comcast Cable Communications, LLC",
76.141.106.4,80,"Comcast Cable Communications, LLC",
73.13.167.213,7547,"Comcast IP Services, L.L.C.",c-73-13-167-213.hsd1.pa.comcast.net
69.254.150.181,7547,"Comcast Cable Communications, Inc.",c-69-254-150-181.hsd1.nm.comcast.net
68.84.85.85,541,"Comcast Cable Communications, Inc.",c-68-84-85-85.hsd1.tn.comcast.net
96.109.61.243,111,"Comcast Cable Communications, LLC",
50.78.132.165,443,"Comcast Cable Communications, LLC",50-78-132-165-static.hfc.comcastbusiness.net
24.18.212.173,8019,Comcast Cable Communications,
98.227.188.76,7547,"Comcast Cable Communications, Inc.",c-98-227-188-76.hsd1.il.comcast.net
73.31.46.44,80,"Comcast IP Services, L.L.C.",c-73-31-46-44.hsd1.va.comcast.net
50.230.139.195,443,"Comcast Cable Communications, LLC","vmbg.sausc.org, sausc.org"
