Port,Reference,Port(s),Protocol,Service,Details,Source
65535,https://www.speedguide.net/port.php?port=65535,65535,tcp,trojans,"Trojans using this port: Adore, Sins, ShitHeep, RC trojan



Apple Xsan Filesystem Access uses the dynamic/private range 49152-65535 (TCP/UDP) as well.",SG
65535,https://www.speedguide.net/port.php?port=65535,65535,udp,games,"Lord of the Rings: Battle for Middle Earth 2, Dark Ages of Camelot, Final Fantasy XI (TCP/UDP)



Stack-based buffer overflow in the Alert Service (aolnsrvr.exe) in LANDesk Management Suite 8.7 allows remote attackers to execute arbitrary code via a crafted packet to port 65535/UDP.

References: [CVE-2007-1674], [BID-23483]",SG
65535,https://www.speedguide.net/port.php?port=65535,65535,tcp,trojan,[trojan] RC1 trojan,Trojans
65535,https://www.speedguide.net/port.php?port=65535,65535,tcp,Adoreworm,[trojan] Adore worm,SANS
65535,https://www.speedguide.net/port.php?port=65535,65535,tcp,RC1trojan,[trojan] RC1 trojan,SANS
65535,https://www.speedguide.net/port.php?port=65535,65535,tcp,Sins,[trojan] Sins,SANS
65534,https://www.speedguide.net/port.php?port=65534,65534,tcp,trojans,"[trojan] /sbin/initd - reported on Linux hosts as a hacked backdoor along with tcp port 1049



Port also used by NetMeeting with H323",SG
65534,https://www.speedguide.net/port.php?port=65534,65534,tcp,/sbin/initd,[trojan] /sbin/initd,SANS
65534,https://www.speedguide.net/port.php?port=65534,"102,465,534",udp,applications,NetMeeting with H323,Portforward
65534,https://www.speedguide.net/port.php?port=65534,"1023, 1502, 1503, 1504, 1730, 1731, 1732, 65534",tcp,applications,NetMeeting with H323,Portforward
65534,https://www.speedguide.net/port.php?port=65534,65534,tcp,sbininitd,[trojan] /sbin/initd,Neophasis
65534,https://www.speedguide.net/port.php?port=65534,65534,tcp,threat,sbin/initd,Bekkoame
65532,https://www.speedguide.net/port.php?port=65532,65532,udp,trojans,The Traitor (th3tr41t0r) trojan uses ports 65432/tcp and 65532/udp,SG
